Team, Record, GP, G, A, P, Sh, Sh %, SOG, SOG %, CK, PKM, PKA, GA, Avg, S, S %
Vinton-Shellsburg  ,  10 - 9 - 0  ,  19  ,  67  ,  33  ,  167  ,  329  ,  0.204  ,  251  ,  0.267  ,  43  ,  1  ,  1  ,  41  ,  2.313  ,  181  ,  0.815  
Sioux City East  ,  9 - 9 - 0  ,  18  ,  32  ,  24  ,  88  ,  314  ,  0.102  ,  165  ,  0.194  ,  85  ,  2  ,  3  ,  10  ,  0.717  ,  65  ,  0.867  
Hudson  ,  8 - 8 - 0  ,  16  ,  42  ,  32  ,  116  ,  299  ,  0.140  ,  223  ,  0.188  ,  65  ,  0  ,  0  ,  35  ,  0.000  ,  150  ,  0.811  
Columbus  ,  7 - 7 - 0  ,  14  ,  29  ,  25  ,  83  ,  169  ,  0.172  ,  79  ,  0.367  ,  34  ,  2  ,  10  ,  27  ,  2.164  ,  151  ,  0.848  
Fairfield  ,  7 - 7 - 0  ,  14  ,  47  ,  16  ,  110  ,  219  ,  0.215  ,  136  ,  0.346  ,  34  ,  17  ,  29  ,  27  ,  1.929  ,  153  ,  0.850  
Johnston  ,  5 - 5 - 0  ,  10  ,  36  ,  24  ,  96  ,  147  ,  0.245  ,  73  ,  0.493  ,  37  ,  1  ,  2  ,  14  ,  1.436  ,  41  ,  0.745  
Burlington  ,  8 - 9 - 0  ,  17  ,  48  ,  29  ,  125  ,  163  ,  0.294  ,  134  ,  0.358  ,  38  ,  0  ,  0  ,  25  ,  2.522  ,  106  ,  0.809  
Des Moines East  ,  8 - 9 - 0  ,  17  ,  42  ,  23  ,  107  ,  252  ,  0.167  ,  173  ,  0.243  ,  50  ,  4  ,  5  ,  75  ,  4.942  ,  134  ,  0.641  
Washington  ,  8 - 9 - 0  ,  17  ,  44  ,  13  ,  101  ,  259  ,  0.170  ,  46  ,  0.957  ,  0  ,  0  ,  1  ,  29  ,  0.000  ,  312  ,  0.915  
Waterloo East  ,  7 - 8 - 0  ,  15  ,  29  ,  16  ,  74  ,  132  ,  0.220  ,  78  ,  0.372  ,  40  ,  3  ,  5  ,  19  ,  1.483  ,  65  ,  0.774  
AHSTW  ,  6 - 7 - 0  ,  13  ,  40  ,  16  ,  96  ,  346  ,  0.116  ,  203  ,  0.197  ,  52  ,  0  ,  1  ,  23  ,  1.983  ,  102  ,  0.816  
Cedar Valley Christian  ,  5 - 6 - 0  ,  11  ,  13  ,  9  ,  35  ,  75  ,  0.173  ,  72  ,  0.181  ,  22  ,  0  ,  1  ,  20  ,  2.216  ,  81  ,  0.802  
Perry  ,  8 - 10 - 0  ,  18  ,  55  ,  22  ,  132  ,  279  ,  0.197  ,  96  ,  0.573  ,  0  ,  0  ,  0  ,  30  ,  1.763  ,  133  ,  0.816  
Ballard  ,  7 - 9 - 1  ,  17  ,  57  ,  23  ,  137  ,  297  ,  0.192  ,  250  ,  0.228  ,  45  ,  0  ,  0  ,  35  ,  2.206  ,  197  ,  0.849  
Centerville  ,  7 - 9 - 0  ,  16  ,  40  ,  21  ,  101  ,  145  ,  0.276  ,  106  ,  0.377  ,  28  ,  1  ,  1  ,  70  ,  5.209  ,  148  ,  0.679  
Decorah  ,  7 - 9 - 0  ,  16  ,  18  ,  6  ,  42  ,  135  ,  0.133  ,  91  ,  0.198  ,  29  ,  7  ,  11  ,  30  ,  1.923  ,  209  ,  0.874  
Des Moines Roosevelt  ,  7 - 9 - 0  ,  16  ,  62  ,  42  ,  166  ,  304  ,  0.204  ,  171  ,  0.363  ,  66  ,  2  ,  3  ,  28  ,  1.893  ,  90  ,  0.763  
Iowa Falls-Alden  ,  7 - 9 - 0  ,  16  ,  41  ,  21  ,  103  ,  191  ,  0.215  ,  110  ,  0.373  ,  55  ,  7  ,  7  ,  37  ,  2.387  ,  128  ,  0.776  
Spirit Lake  ,  7 - 9 - 0  ,  16  ,  29  ,  18  ,  76  ,  160  ,  0.181  ,  102  ,  0.284  ,  36  ,  2  ,  3  ,  54  ,  3.512  ,  131  ,  0.708  
Davenport Central  ,  6 - 8 - 0  ,  14  ,  32  ,  24  ,  88  ,  124  ,  0.258  ,  92  ,  0.348  ,  0  ,  0  ,  0  ,  1  ,  0.000  ,  10  ,  0.909  
Des Moines Lincoln  ,  6 - 8 - 0  ,  14  ,  21  ,  8  ,  50  ,  76  ,  0.276  ,  61  ,  0.344  ,  25  ,  7  ,  11  ,  31  ,  3.192  ,  84  ,  0.730  
Mediapolis  ,  6 - 8 - 0  ,  14  ,  41  ,  41  ,  123  ,  239  ,  0.172  ,  211  ,  0.194  ,  112  ,  0  ,  1  ,  35  ,  2.478  ,  112  ,  0.762  
Iowa City West  ,  8 - 11 - 0  ,  19  ,  29  ,  16  ,  74  ,  223  ,  0.130  ,  223  ,  0.130  ,  46  ,  0  ,  0  ,  39  ,  2.053  ,  123  ,  0.759  
Regina Catholic  ,  8 - 11 - 0  ,  19  ,  35  ,  18  ,  88  ,  233  ,  0.150  ,  135  ,  0.259  ,  54  ,  1  ,  1  ,  37  ,  2.242  ,  215  ,  0.853  
Dubuque Hempstead  ,  7 - 10 - 0  ,  17  ,  25  ,  21  ,  71  ,  290  ,  0.086  ,  158  ,  0.158  ,  70  ,  2  ,  3  ,  25  ,  1.500  ,  82  ,  0.766  
Glenwood  ,  7 - 10 - 0  ,  17  ,  46  ,  28  ,  120  ,  299  ,  0.154  ,  196  ,  0.235  ,  47  ,  4  ,  5  ,  41  ,  2.444  ,  185  ,  0.819  
Southeast Polk  ,  7 - 10 - 0  ,  17  ,  46  ,  29  ,  121  ,  262  ,  0.176  ,  132  ,  0.348  ,  21  ,  5  ,  6  ,  24  ,  1.684  ,  83  ,  0.776  
Denison-Schleswig  ,  6 - 9 - 0  ,  15  ,  39  ,  12  ,  90  ,  223  ,  0.175  ,  142  ,  0.275  ,  61  ,  3  ,  3  ,  63  ,  4.260  ,  153  ,  0.708  
Iowa City Liberty  ,  7 - 11 - 0  ,  18  ,  19  ,  15  ,  53  ,  174  ,  0.109  ,  113  ,  0.168  ,  75  ,  0  ,  0  ,  48  ,  2.667  ,  198  ,  0.805  
MOC-Floyd Valley  ,  6 - 10 - 0  ,  16  ,  37  ,  12  ,  86  ,  187  ,  0.198  ,  112  ,  0.330  ,  59  ,  8  ,  16  ,  51  ,  3.047  ,  127  ,  0.713  
Sioux Center  ,  6 - 10 - 0  ,  16  ,  16  ,  10  ,  42  ,  145  ,  0.110  ,  66  ,  0.242  ,  45  ,  4  ,  9  ,  46  ,  3.064  ,  149  ,  0.764  
Davenport North  ,  7 - 12 - 0  ,  19  ,  27  ,  21  ,  75  ,  224  ,  0.121  ,  141  ,  0.191  ,  68  ,  7  ,  5  ,  43  ,  2.606  ,  194  ,  0.819  
Clinton  ,  6 - 11 - 0  ,  17  ,  32  ,  8  ,  72  ,  220  ,  0.145  ,  142  ,  0.225  ,  56  ,  2  ,  2  ,  48  ,  3.368  ,  197  ,  0.804  
Urbandale  ,  6 - 11 - 0  ,  17  ,  34  ,  12  ,  80  ,  45  ,  0.756  ,  76  ,  0.447  ,  47  ,  10  ,  16  ,  22  ,  1.326  ,  119  ,  0.844  
Solon  ,  7 - 13 - 0  ,  20  ,  19  ,  8  ,  46  ,  150  ,  0.127  ,  73  ,  0.260  ,  39  ,  0  ,  0  ,  40  ,  1.975  ,  131  ,  0.766  
Western Dubuque  ,  6 - 12 - 0  ,  18  ,  19  ,  11  ,  49  ,  87  ,  0.218  ,  69  ,  0.275  ,  26  ,  0  ,  1  ,  32  ,  3.556  ,  147  ,  0.821  
Atlantic  ,  5 - 11 - 0  ,  16  ,  55  ,  18  ,  128  ,  260  ,  0.212  ,  156  ,  0.353  ,  7  ,  0  ,  0  ,  64  ,  9.143  ,  208  ,  0.765  
Garner-Hayfield-Ventura  ,  5 - 11 - 0  ,  16  ,  40  ,  13  ,  93  ,  289  ,  0.138  ,  162  ,  0.247  ,  19  ,  3  ,  3  ,  41  ,  2.782  ,  164  ,  0.800  
Anamosa  ,  5 - 12 - 0  ,  17  ,  23  ,  12  ,  58  ,  334  ,  0.069  ,  334  ,  0.069  ,  38  ,  1  ,  1  ,  82  ,  5.194  ,  295  ,  0.782  
